model,n,n_pos,chance_level,cosine_dist,l_1,l_inf,euclidean,f1,thr_max_f1,fpr_max_f1
Llama-3.1-8B-Instruct,2408,418,0.5,0.8308387609421076,0.8325071703372684,0.825838285614945,0.8517380432063024,0.7923775835838501,0.22987408181125504,0.3823644655546873
Llama-3.2-3B-Instruct,2322,462,0.5,0.8531049530859608,0.8953379297356376,0.9030240527924052,0.9115347503783184,0.8354656932190394,0.9653934808350637,0.16163735503592203
Qwen2.5-7B-Instruct,1540,223,0.4814814814814815,0.7619269933352134,0.801594027718103,0.8218745195909583,0.8318548654349872,0.7803340925894056,0.6880984578800453,0.22502506854903764
Qwen3-8B,1465,195,0.46153846153846156,0.8188863718672024,0.7533190746465003,0.7728139496494579,0.7802889072941402,0.7396380500652849,0.5382945863323064,0.25782757788777694
